Club,Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %,top_four,
,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,,
Adelaide Crows,5280,220,4117,171.5,9397,391.5,3654,152.3,5756,239.8,73,1202,50.1,2275,94.8,310,12.9,344,14.3,932,38.8,927,38.6,346,14.4,581,24.2,895,37.3,441,18.4,409,17,1652,68.8,1141,47.5,157,6.5,1389,57.9,51.8,0,Adelaide Crows
Brisbane Lions,4052,184.2,3373,153.3,7425,337.5,2972,135.1,4394,199.7,72,1129,51.3,1600,72.7,187,8.5,228,10.4,869,39.5,797,36.2,297,13.5,500,22.7,925,42,445,20.2,466,21.2,1501,68.2,1103,50.1,83,3.8,1019,46.3,50.3,0,Brisbane Lions
Carlton,4497,204.4,3628,164.9,8125,369.3,2913,132.4,5126,233,74.4,1085,49.3,1977,89.9,232,10.5,265,12,863,39.2,768,34.9,228,10.4,540,24.5,845,38.4,398,18.1,386,17.5,1451,66,1009,45.9,169,7.7,1117,50.8,44.3,0,Carlton
Collingwood,4498,204.5,3862,175.5,8360,380,3158,143.5,5266,239.4,74.3,1092,49.6,1968,89.5,247,11.2,249,11.3,776,35.3,757,34.4,260,11.8,497,22.6,825,37.5,443,20.1,404,18.4,1717,78,1076,48.9,109,5,1133,51.5,51,0,Collingwood
Essendon,4532,206,3879,176.3,8411,382.3,2894,131.5,5569,253.1,74.6,1111,50.5,2238,101.7,223,10.1,226,10.3,808,36.7,734,33.4,250,11.4,484,22,902,41,406,18.5,372,16.9,1428,64.9,1027,46.7,87,4,1013,46,41.8,0,Essendon
Fremantle,4372,198.7,3753,170.6,8125,369.3,3036,138,5071,230.5,73.5,1121,51,1871,85,233,10.6,198,9,912,41.5,797,36.2,253,11.5,544,24.7,860,39.1,381,17.3,393,17.9,1591,72.3,1026,46.6,115,5.2,1001,45.5,49,0,Fremantle
Geelong Cats,5034,209.8,4144,172.7,9178,382.4,3576,149,5646,235.3,74.2,1249,52,2282,95.1,336,14,351,14.6,956,39.8,906,37.8,326,13.6,580,24.2,811,33.8,473,19.7,514,21.4,1676,69.8,1100,45.8,149,6.2,1370,57.1,50,1,Geelong Cats
Gold Coast Suns,4306,195.7,3520,160,7826,355.7,2962,134.6,4882,221.9,72.5,1085,49.3,1921,87.3,235,10.7,258,11.7,687,31.2,729,33.1,258,11.7,471,21.4,914,41.5,370,16.8,402,18.3,1529,69.5,1050,47.7,214,9.7,1069,48.6,50.2,0,Gold Coast Suns
GWS Giants,5268,219.5,4069,169.5,9337,389,3604,150.2,5728,238.7,73.5,1277,53.2,2260,94.2,285,11.9,299,12.5,1074,44.8,983,41,320,13.3,663,27.6,980,40.8,434,18.1,488,20.3,1652,68.8,1185,49.4,313,13,1394,58.1,51.9,1,GWS Giants
Hawthorn,5079,211.6,3775,157.3,8854,368.9,3132,130.5,5644,235.2,75,1135,47.3,2237,93.2,235,9.8,284,11.8,1036,43.2,874,36.4,299,12.5,575,24,829,34.5,464,19.3,447,18.6,1716,71.5,1356,56.5,131,5.5,1287,53.6,53.4,0,Hawthorn
Melbourne,4405,200.2,4245,193,8650,393.2,3266,148.5,5340,242.7,73,1165,53,1791,81.4,244,11.1,265,12,1053,47.9,838,38.1,284,12.9,554,25.2,820,37.3,395,18,423,19.2,1578,71.7,986,44.8,160,7.3,1185,53.9,51.3,0,Melbourne
North Melbourne,4625,201.1,3716,161.6,8341,362.7,3291,143.1,5087,221.2,74.2,1094,47.6,1962,85.3,284,12.3,274,11.9,985,42.8,855,37.2,304,13.2,551,24,908,39.5,474,20.6,403,17.5,1506,65.5,1021,44.4,187,8.1,1189,51.7,49.9,0,North Melbourne
Port Adelaide,4396,199.8,3544,161.1,7940,360.9,3236,147.1,4686,213,70.7,1275,58,1626,73.9,212,9.6,226,10.3,669,30.4,856,38.9,280,12.7,576,26.2,918,41.7,409,18.6,468,21.3,1674,76.1,1363,62,194,8.8,1208,54.9,51.7,0,Port Adelaide
Richmond,4586,208.5,3493,158.8,8079,367.2,3003,136.5,5068,230.4,74.6,1125,51.1,2140,97.3,276,12.5,279,12.7,931,42.3,749,34,269,12.2,480,21.8,891,40.5,423,19.2,441,20,1323,60.1,897,40.8,111,5,1007,45.8,50,0,Richmond
St Kilda,4469,203.1,3827,174,8296,377.1,2939,133.6,5353,243.3,75.3,1094,49.7,2029,92.2,271,12.3,316,14.4,835,38,757,34.4,298,13.5,459,20.9,853,38.8,370,16.8,394,17.9,1459,66.3,942,42.8,158,7.2,1165,53,51.6,0,St Kilda
Sydney Swans,5315,212.6,4598,183.9,9913,396.5,4105,164.2,5779,231.2,71.1,1333,53.3,2037,81.5,328,13.1,292,11.7,1042,41.7,974,39,311,12.4,663,26.5,1057,42.3,460,18.4,499,20,1945,77.8,1219,48.8,92,3.7,1422,56.9,52.1,1,Sydney Swans
West Coast Eagles,4597,199.9,3535,153.7,8132,353.6,3216,139.8,4964,215.8,72.9,1083,47.1,1979,86,294,12.8,312,13.6,1083,47.1,867,37.7,292,12.7,575,25,853,37.1,458,19.9,435,18.9,1607,69.9,1049,45.6,94,4.1,1204,52.3,53.9,0,West Coast Eagles
Western Bulldogs,5313,212.5,4986,199.4,10299,412,3742,149.7,6587,263.5,74.1,1186,47.4,2300,92,271,10.8,289,11.6,832,33.3,941,37.6,302,12.1,639,25.6,850,34,510,20.4,411,16.4,1695,67.8,1238,49.5,181,7.2,1366,54.6,47.6,1,Western Bulldogs
All Clubs,84624,205.1,70064,169.8,154688,375,58699,142.2,95946,232.6,73.5,20841,50.6,36493,88.5,4703,11.4,4955,12,16343,39.6,15109,36.6,5177,12.5,9932,24.1,15936,38.7,7754,18.8,7755,18.8,28700,69.6,19788,48,2704,6.6,21538,52.1,50.1,,
