,"Spotless Stadium
May 20 2017 (Sat 4:35pm)",
1.2,Q1,6.3
4.5,Q2,7.8
6.9,Q3,10.10
11.12,Q4,10.15
(78),Total,(75)

202,Kicks,226
152,Handballs,147
354,Disposals,373
78,Marks,98
41,Hit Outs,25
64,Tackles,57
17,Frees For,18
18,Frees Against,17

23,Scoring Shots,25
47.8%,Accuracy,40.0%
4,Rushed Behinds,0
32.2,Disposal Per Goal,37.3
15.4,Disposal Per Scoring Shot,14.9
