,"Sydney Cricket Ground
May 7 2017 (Sun 1:10pm)",
7.5,Q1,2.0
12.10,Q2,6.2
17.13,Q3,9.5
20.15,Q4,12.9
(135),Total,(81)

214,Kicks,202
177,Handballs,139
391,Disposals,341
102,Marks,97
32,Hit Outs,43
55,Tackles,55
15,Frees For,18
18,Frees Against,15

35,Scoring Shots,21
57.1%,Accuracy,57.1%
4,Rushed Behinds,2
19.6,Disposal Per Goal,28.4
11.2,Disposal Per Scoring Shot,16.2
