,"Domain Stadium
Aug 5 2017 (Sat 7:40pm)",
3.5,Q1,4.0
7.8,Q2,5.4
11.12,Q3,8.7
12.18,Q4,10.7
(90),Total,(67)

233,Kicks,217
141,Handballs,175
374,Disposals,392
126,Marks,94
36,Hit Outs,46
76,Tackles,42
15,Frees For,17
17,Frees Against,16

30,Scoring Shots,17
40.0%,Accuracy,58.8%
4,Rushed Behinds,1
31.2,Disposal Per Goal,39.2
12.5,Disposal Per Scoring Shot,23.1
