,"Simonds Stadium
Aug 26 2017 (Sat 7:25pm)",
5.3,Q1,3.1
6.7,Q2,5.6
12.11,Q3,6.7
15.13,Q4,8.11
(103),Total,(59)

208,Kicks,190
169,Handballs,159
377,Disposals,349
99,Marks,80
29,Hit Outs,42
71,Tackles,76
22,Frees For,25
25,Frees Against,22

28,Scoring Shots,19
53.6%,Accuracy,42.1%
1,Rushed Behinds,2
25.1,Disposal Per Goal,43.6
13.5,Disposal Per Scoring Shot,18.4
