,"Melbourne Cricket Ground
May 21 2017 (Sun 3:20pm)",
2.5,Q1,6.7
8.7,Q2,8.9
9.9,Q3,12.13
13.12,Q4,15.14
(90),Total,(104)

178,Kicks,196
193,Handballs,167
371,Disposals,363
69,Marks,85
28,Hit Outs,67
78,Tackles,94
10,Frees For,22
21,Frees Against,10

25,Scoring Shots,29
52.0%,Accuracy,51.7%
4,Rushed Behinds,2
28.5,Disposal Per Goal,24.2
14.8,Disposal Per Scoring Shot,12.5
