,"Sydney Cricket Ground
Jul 8 2017 (Sat 4:35pm)",
4.3,Q1,5.2
10.5,Q2,5.6
14.10,Q3,5.6
17.16,Q4,7.9
(118),Total,(51)

223,Kicks,222
175,Handballs,134
398,Disposals,356
99,Marks,106
31,Hit Outs,50
72,Tackles,73
13,Frees For,14
14,Frees Against,13

33,Scoring Shots,16
51.5%,Accuracy,43.8%
1,Rushed Behinds,1
23.4,Disposal Per Goal,50.9
12.1,Disposal Per Scoring Shot,22.3
