,"Etihad Stadium
May 27 2017 (Sat 1:45pm)",
2.2,Q1,2.1
5.6,Q2,3.2
10.9,Q3,5.5
13.12,Q4,7.8
(90),Total,(50)

188,Kicks,217
247,Handballs,219
435,Disposals,436
76,Marks,109
29,Hit Outs,58
63,Tackles,95
15,Frees For,11
11,Frees Against,15

25,Scoring Shots,15
52.0%,Accuracy,46.7%
0,Rushed Behinds,2
33.5,Disposal Per Goal,62.3
17.4,Disposal Per Scoring Shot,29.1
