Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %
701,233.7,532,177.3,1233,411,468,156,754,251.3,77.5,150,50,300,100,39,13,34,11.3,127,42.3,115,38.3,45,15,70,23.3,127,42.3,61,20.3,50,16.7,177,59,155,51.7,21,7,168,56,50.6
643,214.3,544,181.3,1187,395.7,456,152,732,244,74,185,61.7,268,89.3,34,11.3,26,8.7,131,43.7,110,36.7,36,12,74,24.7,124,41.3,86,28.7,63,21,212,70.7,148,49.3,24,8,161,53.7,56.1
