,"Melbourne Cricket Ground
Aug 19 2017 (Sat 2:10pm)",
6.1,Q1,2.2
7.2,Q2,6.5
9.4,Q3,8.6
9.5,Q4,10.10
(59),Total,(70)

205,Kicks,203
153,Handballs,192
358,Disposals,395
97,Marks,104
50,Hit Outs,40
103,Tackles,78
22,Frees For,15
15,Frees Against,22

14,Scoring Shots,20
64.3%,Accuracy,50.0%
1,Rushed Behinds,1
39.8,Disposal Per Goal,39.5
25.6,Disposal Per Scoring Shot,19.8
