,"Melbourne Cricket Ground
May 7 2017 (Sun 3:20pm)",
1.1,Q1,5.4
4.2,Q2,8.7
11.6,Q3,11.7
14.7,Q4,14.10
(91),Total,(94)

193,Kicks,218
237,Handballs,138
430,Disposals,356
75,Marks,106
24,Hit Outs,61
83,Tackles,83
15,Frees For,10
10,Frees Against,16

21,Scoring Shots,24
66.7%,Accuracy,58.3%
2,Rushed Behinds,0
30.7,Disposal Per Goal,25.4
20.5,Disposal Per Scoring Shot,14.8
