,"Etihad Stadium
Apr 15 2017 (Sat 7:25pm)",
2.4,Q1,3.0
6.6,Q2,6.1
7.7,Q3,13.3
12.10,Q4,17.6
(82),Total,(108)

223,Kicks,229
98,Handballs,212
321,Disposals,441
109,Marks,118
25,Hit Outs,40
82,Tackles,44
20,Frees For,10
10,Frees Against,20

22,Scoring Shots,23
54.5%,Accuracy,73.9%
1,Rushed Behinds,0
26.8,Disposal Per Goal,25.9
14.6,Disposal Per Scoring Shot,19.2
