,"Adelaide Oval
Apr 8 2017 (Sat 7:40pm)",
4.6,Q1,3.3
6.6,Q2,7.9
9.8,Q3,11.10
12.11,Q4,15.10
(83),Total,(100)

202,Kicks,223
134,Handballs,164
336,Disposals,387
69,Marks,82
52,Hit Outs,46
80,Tackles,79
26,Frees For,21
21,Frees Against,26

23,Scoring Shots,25
52.2%,Accuracy,60.0%
2,Rushed Behinds,1
28.0,Disposal Per Goal,25.8
14.6,Disposal Per Scoring Shot,15.5
