,,,,,Disp eff %,,,,,,,,,,,,,,,,Goal acc %,top_four
AVG,AVG,AVG,AVG,AVG,TOT,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,AVG,TOT,
212,147.5,359.6,142.7,214.1,70.3,49.4,89.7,11,13.4,43.5,40.7,13.8,26.9,38.3,16.9,16.8,60.1,43,6.4,55,51.9,0
195.6,157.6,353.2,129,224.1,72.2,48,89.8,8.5,10.2,46.8,41,12.3,28.7,37.7,18.7,20.1,62.5,42.4,5.7,44.1,47.8,0
193.9,148.2,342.1,130.1,211.2,72.4,46.1,83.5,9.7,9.3,40,39.1,13.2,25.9,39,18.3,17.6,56.7,44.2,8.4,44.2,47.3,0
206.5,164.3,370.8,144.5,224.2,71.8,46,83.4,10,13,38.3,38.9,11.4,27.5,36,18.2,16.2,71.9,46.6,5.1,52.7,52,0
210,167.7,377.8,136.4,240.5,73.7,49,95.6,10.9,9.5,34.3,36.1,11.2,24.9,40.1,18.1,19.5,66.3,43.1,5,49,46.3,0
208.8,166.5,375.3,140.5,235.5,74.3,43.8,93.5,11.3,10.5,58.5,41.8,12.6,29.2,32.5,17.2,19.4,63.6,37.5,5.4,48.7,51.7,1
198.8,166.2,365,131.9,234,74.5,46.4,97.1,13.1,13.5,34.5,34.5,12.3,22.2,37.2,16.8,19.6,68,39.9,5.8,49.8,51.4,0
192.8,130.6,323.5,136,183.7,69.2,49.4,76.2,9.8,9.4,35.4,38.7,12.8,25.9,41.9,19,17.4,65.5,49,10,45.7,49.4,0
199.3,164.6,364,127.7,233.2,73.7,46.3,91.8,10.1,11.8,40,37.5,10.4,27.1,38.7,17.3,17.9,67.6,42.1,16.1,49.4,47.1,0
226.5,168.6,395.1,134.5,260.7,76.1,44.2,105.2,10.5,13.8,44.5,40.2,13,27.2,32.7,17.6,16.9,65.6,50.8,9.1,56.2,55.9,1
188.5,151.2,339.7,135.2,203.5,72.4,43.8,81.1,12.5,9.6,45.9,37.6,10.6,27,39,18,18.6,69.6,38.3,5.7,44.5,46.4,0
196.8,157.2,354.1,135.7,218.2,73.4,46.2,86.1,11.7,12.8,48.5,39.1,13,26.2,38.2,20.2,18,65.2,36.6,9.8,50.3,51.9,1
203.9,159.3,363.2,138.9,223.9,72.1,50.1,87.5,10.5,11.7,49.8,41.5,13.1,28.5,38.1,17.8,18.5,72,47.8,7.4,52.6,53,0
211.5,149.9,361.4,136.4,223.6,73.2,45.8,96.2,11.1,12.7,37.6,36.4,11.6,24.8,36.4,21.9,18.8,57.5,44.8,8.5,50.1,50.9,0
205.8,157.1,363,132.4,231.8,73.3,49.2,96.4,10,12,39.2,35.1,10.6,24.5,37.9,17.9,20.8,69.1,41.6,9.1,50.8,47.1,0
208.7,183,391.7,139.3,251,73.3,48.2,92.6,10.3,12.1,43.6,38.3,11.4,27,37.6,17.3,19.2,72.2,41.8,5,54.1,47.9,0
204.6,165.2,369.8,140.5,227.8,73.1,40.7,89.6,11.3,13.5,51.8,39.9,12.7,27.2,32.6,18.4,15,60.5,44.1,6.8,54,50.3,1
202.3,165.9,368.3,139.3,227.9,73.5,44.1,87,10.1,10.9,37.7,39.6,12.6,27,36.9,17,16.8,68.4,43.5,9.2,54.9,51.4,0
207.4,159.5,366.8,145,218.4,72,42.2,85.1,11.2,11,40.3,39.3,14.2,25.1,38.9,16.9,14.5,62.1,50.4,11.5,55.1,50.4,0
189.3,159.4,348.6,125,219.8,71.6,43.9,85.5,7.4,8.4,38.2,36.5,11.3,25.2,38.7,17.4,18,63.9,53,7.5,45.7,48.7,0
210,131.4,341.4,133.5,205.8,71.7,41.5,92.3,9.6,11.6,40.9,38.3,12.7,25.5,38.6,18,14.5,61.5,51.5,13.8,47.6,49.9,0
201.5,148.7,350.2,134.7,213.3,70.6,46.5,85.1,8.7,11.9,35.4,34.7,11.1,23.5,37.4,14.8,16.2,71.1,50.1,10.1,49.6,46.6,0
224.3,160.2,384.4,135.1,249.3,74.2,42.4,107.4,10.6,12.2,36.7,37.2,12.7,24.4,35.2,15.7,16,65.9,47.7,6,53.2,47.8,0
207,157,364,144.4,218.2,72.2,42.3,88.6,10.9,11.3,53.5,39.2,12,27.2,34.2,14.8,17.5,65,44.2,6.8,50.1,49.8,0
204.3,157.7,362.1,136.1,227.2,73.1,43.3,93.5,11.5,14,38.5,34,11.3,22.7,35.2,17,16.6,69.8,48.1,6.3,52,47.4,0
196.6,147.6,344.2,144.3,195.4,70.1,47.5,73.1,8.8,10,32.9,40.2,12.4,27.9,41,15.6,17.5,66.8,56.9,10.6,49.8,49.4,0
201.3,155.2,356.5,130.2,222,72.3,45.5,87.3,7.2,9.1,42.9,39.4,12.8,26.6,39.6,16.5,18.2,68.1,47.1,12.4,46.9,48.4,0
223,173.4,396.4,142.8,249.3,74.3,42.2,93.3,9.5,12.8,44.7,40.8,13.1,27.7,34.8,16.2,15.8,62.3,54.4,10.6,55.4,57.1,1
195.6,155.5,351.1,130.2,218.4,73.8,42.6,88.4,9.9,8.7,44.8,34.3,9.9,24.4,39,17.6,17.2,63.4,48.1,5.2,40.5,46.1,0
208.7,160.7,369.4,135.4,230.2,74,42.7,90.4,10.2,10.6,41.9,37.6,12.2,25.4,38.9,17.3,17.1,63.7,50,13.2,50.2,48.2,1
209.3,163.9,373.2,142.4,227.9,71.2,46,90.3,10.5,13.8,42.3,40.2,12.5,27.7,33.6,16.9,17.2,69.1,51.2,15.2,56.2,49.2,1
207,162.9,369.9,136.7,229.1,73.1,47,87,8.9,12.1,40.1,40.1,11.5,28.6,36.7,19,18.7,63.6,48.6,9.3,50.3,50.3,0
197,146.7,343.7,126.3,215.3,71.9,45.5,91.7,9.5,9.9,36,36.1,12.3,23.9,37.1,15.5,16.9,64.6,42.2,10.1,43.9,46.8,0
209.3,168.7,378,147,228.7,71.6,45.3,82.4,10.2,12.1,37.1,38.6,12.1,26.4,36.7,16.9,16.4,72.4,56.4,7.6,56.3,50.1,1
206.3,149.7,356,139.5,213.7,71.7,41.5,89,10.2,10.5,49,38.9,12.8,26.1,35.7,17.4,15.2,70,51.2,10.2,51,52.8,0
191.9,170,362,142.8,215.3,72.2,41.7,71.6,8.1,9.4,41.1,39.9,12.6,27.3,35.7,17.2,17.1,70.4,46.8,9.7,49.3,47.9,0
