Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %
592,197.3,481,160.3,1073,357.7,422,140.7,659,219.7,72.4,176,58.7,243,81,33,11,41,13.7,95,31.7,89,29.7,47,15.7,42,14,120,40,62,20.7,54,18,184,61.3,132,44,35,11.7,149,49.7,48.8
721,240.3,470,156.7,1191,397,446,148.7,748,249.3,72.7,164,54.7,292,97.3,12,4,40,13.3,92,30.7,123,41,39,13,84,28,109,36.3,63,21,61,20.3,188,62.7,179,59.7,25,8.3,169,56.3,47.8
