,"Etihad Stadium
May 28 2017 (Sun 3:20pm)",
2.0,Q1,7.2
7.2,Q2,11.3
12.4,Q3,12.6
15.6,Q4,17.11
(96),Total,(113)

220,Kicks,183
186,Handballs,173
406,Disposals,356
89,Marks,80
52,Hit Outs,40
95,Tackles,79
21,Frees For,24
24,Frees Against,21

21,Scoring Shots,28
71.4%,Accuracy,60.7%
1,Rushed Behinds,1
27.1,Disposal Per Goal,20.9
19.3,Disposal Per Scoring Shot,12.7
