Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %
605,201.7,435,145,1040,346.7,433,144.3,598,199.3,73.3,170,56.7,222,74,33,11,37,12.3,90,30,108,36,48,16,60,20,114,38,52,17.3,72,24,191,63.7,148,49.3,21,7,175,58.3,48.9
608,202.7,438,146,1046,348.7,426,142,605,201.7,70.4,163,54.3,233,77.7,23,7.7,25,8.3,138,46,130,43.3,39,13,91,30.3,123,41,76,25.3,56,18.7,187,62.3,140,46.7,9,3,144,48,48
