,"Melbourne Cricket Ground
Aug 26 2017 (Sat 1:45pm)",
6.5,Q1,1.3
9.6,Q2,4.8
12.10,Q3,9.10
14.15,Q4,12.11
(99),Total,(83)

231,Kicks,211
154,Handballs,198
385,Disposals,409
118,Marks,99
24,Hit Outs,37
70,Tackles,51
16,Frees For,12
12,Frees Against,16

29,Scoring Shots,23
48.3%,Accuracy,52.2%
5,Rushed Behinds,3
27.5,Disposal Per Goal,34.1
13.3,Disposal Per Scoring Shot,17.8
