,"Adelaide Oval
Apr 2 2017 (Sun 4:40pm)",
7.3,Q1,2.1
11.8,Q2,3.3
18.9,Q3,7.4
22.13,Q4,8.8
(145),Total,(56)

225,Kicks,191
175,Handballs,169
400,Disposals,360
100,Marks,87
30,Hit Outs,48
62,Tackles,47
21,Frees For,18
18,Frees Against,21

35,Scoring Shots,16
62.9%,Accuracy,50.0%
1,Rushed Behinds,0
18.2,Disposal Per Goal,45.0
11.4,Disposal Per Scoring Shot,22.5
