Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %
615,205,410,136.7,1025,341.7,464,154.7,547,182.3,62.9,200,66.7,195,65,36,12,26,8.7,121,40.3,103,34.3,22,7.3,81,27,140,46.7,70,23.3,63,21,215,71.7,178,59.3,22,7.3,158,52.7,42.5
646,215.3,453,151,1099,366.3,445,148.3,642,214,70.7,181,60.3,258,86,31,10.3,23,7.7,97,32.3,115,38.3,43,14.3,72,24,121,40.3,69,23,74,24.7,171,57,149,49.7,26,8.7,169,56.3,50
