,"Melbourne Cricket Ground
May 27 2017 (Sat 7:25pm)",
4.4,Q1,6.0
6.9,Q2,8.1
9.12,Q3,10.3
11.15,Q4,10.6
(81),Total,(66)

234,Kicks,203
134,Handballs,212
368,Disposals,415
92,Marks,82
28,Hit Outs,47
70,Tackles,72
18,Frees For,15
15,Frees Against,18

26,Scoring Shots,16
42.3%,Accuracy,62.5%
2,Rushed Behinds,1
33.5,Disposal Per Goal,41.5
14.2,Disposal Per Scoring Shot,25.9
