,"Etihad Stadium
Jul 29 2017 (Sat 7:25pm)",
3.0,Q1,5.7
4.3,Q2,9.10
5.8,Q3,13.12
8.10,Q4,18.15
(58),Total,(123)

181,Kicks,222
97,Handballs,213
278,Disposals,435
72,Marks,121
38,Hit Outs,38
85,Tackles,69
28,Frees For,20
20,Frees Against,28

18,Scoring Shots,33
44.4%,Accuracy,54.5%
2,Rushed Behinds,4
34.8,Disposal Per Goal,24.2
15.4,Disposal Per Scoring Shot,13.2
