,"Adelaide Oval
Apr 15 2017 (Sat 7:40pm)",
9.2,Q1,3.2
15.6,Q2,7.2
17.7,Q3,10.9
24.9,Q4,13.10
(153),Total,(88)

206,Kicks,229
207,Handballs,228
413,Disposals,457
75,Marks,109
39,Hit Outs,45
60,Tackles,48
17,Frees For,15
15,Frees Against,18

33,Scoring Shots,23
72.7%,Accuracy,56.5%
1,Rushed Behinds,4
17.2,Disposal Per Goal,35.2
12.5,Disposal Per Scoring Shot,19.9
