Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %
645,215,443,147.7,1088,362.7,442,147.3,646,215.3,73.8,182,60.7,265,88.3,27,9,38,12.7,121,40.3,120,40,50,16.7,70,23.3,112,37.3,63,21,73,24.3,179,59.7,193,64.3,27,9,173,57.7,52.3
625,208.3,501,167,1126,375.3,484,161.3,651,217,73,166,55.3,222,74,32,10.7,42,14,157,52.3,126,42,48,16,78,26,100,33.3,66,22,64,21.3,206,68.7,143,47.7,13,4.3,186,62,47.9
