,"Etihad Stadium
Aug 5 2017 (Sat 7:25pm)",
1.5,Q1,2.7
1.9,Q2,5.11
4.11,Q3,11.12
7.15,Q4,16.15
(57),Total,(111)

186,Kicks,248
196,Handballs,199
382,Disposals,447
100,Marks,136
24,Hit Outs,33
48,Tackles,50
16,Frees For,21
21,Frees Against,16

22,Scoring Shots,31
31.8%,Accuracy,51.6%
4,Rushed Behinds,1
54.6,Disposal Per Goal,27.9
17.4,Disposal Per Scoring Shot,14.4
