,"Spotless Stadium
Aug 19 2017 (Sat 4:35pm)",
2.1,Q1,3.1
7.4,Q2,6.3
8.6,Q3,8.5
12.9,Q4,9.6
(81),Total,(60)

230,Kicks,208
187,Handballs,144
417,Disposals,352
94,Marks,91
36,Hit Outs,47
48,Tackles,59
22,Frees For,29
29,Frees Against,22

21,Scoring Shots,15
57.1%,Accuracy,60.0%
1,Rushed Behinds,0
34.8,Disposal Per Goal,39.1
19.9,Disposal Per Scoring Shot,23.5
