,"Domain Stadium
Apr 29 2017 (Sat 8:10pm)",
7.2,Q1,1.2
10.5,Q2,3.2
13.6,Q3,6.4
16.7,Q4,9.8
(103),Total,(62)

261,Kicks,194
186,Handballs,164
447,Disposals,358
137,Marks,84
25,Hit Outs,54
69,Tackles,60
20,Frees For,13
13,Frees Against,20

23,Scoring Shots,17
69.6%,Accuracy,52.9%
0,Rushed Behinds,1
27.9,Disposal Per Goal,39.8
19.4,Disposal Per Scoring Shot,21.1
