,"Melbourne Cricket Ground
May 14 2017 (Sun 1:10pm)",
2.1,Q1,2.3
5.1,Q2,5.6
5.5,Q3,9.11
10.10,Q4,10.12
(70),Total,(72)

193,Kicks,218
167,Handballs,184
360,Disposals,402
81,Marks,120
23,Hit Outs,47
57,Tackles,69
16,Frees For,17
17,Frees Against,16

20,Scoring Shots,22
50.0%,Accuracy,45.5%
1,Rushed Behinds,1
36.0,Disposal Per Goal,40.2
18.0,Disposal Per Scoring Shot,18.3
