,"Etihad Stadium
Aug 25 2017 (Fri 7:50pm)",
5.3,Q1,4.2
9.5,Q2,7.4
12.6,Q3,10.7
15.9,Q4,13.12
(99),Total,(90)

229,Kicks,180
200,Handballs,193
429,Disposals,373
115,Marks,90
33,Hit Outs,54
73,Tackles,46
15,Frees For,10
10,Frees Against,15

24,Scoring Shots,25
62.5%,Accuracy,52.0%
3,Rushed Behinds,3
28.6,Disposal Per Goal,28.7
17.9,Disposal Per Scoring Shot,14.9
