,"Etihad Stadium
Jul 9 2017 (Sun 1:10pm)",
1.2,Q1,4.3
6.3,Q2,9.4
8.4,Q3,9.6
12.10,Q4,13.8
(82),Total,(86)

205,Kicks,197
189,Handballs,147
394,Disposals,344
89,Marks,99
47,Hit Outs,37
79,Tackles,76
17,Frees For,16
16,Frees Against,17

22,Scoring Shots,21
54.5%,Accuracy,61.9%
3,Rushed Behinds,1
32.8,Disposal Per Goal,26.5
17.9,Disposal Per Scoring Shot,16.4
