Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %
698,232.7,343,114.3,1041,347,412,137.3,619,206.3,75.2,161,53.7,304,101.3,37,12.3,41,13.7,176,58.7,110,36.7,40,13.3,70,23.3,120,40,64,21.3,66,22,166,55.3,140,46.7,17,5.7,178,59.3,52.9
736,245.3,342,114,1078,359.3,509,169.7,534,178,62.4,229,76.3,231,77,21,7,29,9.7,129,43,128,42.7,33,11,95,31.7,145,48.3,68,22.7,71,23.7,252,84,167,55.7,12,4,163,54.3,42.1
