,"Spotless Stadium
May 13 2017 (Sat 4:35pm)",
2.2,Q1,6.4
8.5,Q2,8.6
12.8,Q3,12.7
15.12,Q4,15.9
(102),Total,(99)

212,Kicks,209
193,Handballs,179
405,Disposals,388
87,Marks,101
38,Hit Outs,46
79,Tackles,51
10,Frees For,9
9,Frees Against,10

27,Scoring Shots,24
55.6%,Accuracy,62.5%
2,Rushed Behinds,0
27.0,Disposal Per Goal,25.9
15.0,Disposal Per Scoring Shot,16.2
