,"Sydney Cricket Ground
Aug 26 2017 (Sat 4:35pm)",
3.4,Q1,1.0
6.7,Q2,5.1
13.10,Q3,8.4
21.12,Q4,8.9
(138),Total,(57)

221,Kicks,223
154,Handballs,123
375,Disposals,346
108,Marks,111
32,Hit Outs,43
63,Tackles,53
25,Frees For,18
18,Frees Against,24

33,Scoring Shots,17
63.6%,Accuracy,47.1%
0,Rushed Behinds,2
17.9,Disposal Per Goal,43.3
11.4,Disposal Per Scoring Shot,20.4
