,"Etihad Stadium
Jul 8 2017 (Sat 7:25pm)",
5.3,Q1,1.3
14.8,Q2,1.4
19.8,Q3,4.9
21.12,Q4,10.11
(138),Total,(71)

221,Kicks,175
208,Handballs,144
429,Disposals,319
109,Marks,93
47,Hit Outs,18
66,Tackles,54
18,Frees For,15
15,Frees Against,18

33,Scoring Shots,21
63.6%,Accuracy,47.6%
1,Rushed Behinds,0
20.4,Disposal Per Goal,31.9
13.0,Disposal Per Scoring Shot,15.2
