,"Adelaide Oval
Jul 21 2017 (Fri 7:50pm)",
5.2,Q1,1.4
9.5,Q2,4.6
13.9,Q3,7.8
13.13,Q4,10.10
(91),Total,(70)

214,Kicks,163
132,Handballs,165
346,Disposals,328
91,Marks,63
39,Hit Outs,37
70,Tackles,89
30,Frees For,31
31,Frees Against,30

26,Scoring Shots,20
50.0%,Accuracy,50.0%
1,Rushed Behinds,4
26.6,Disposal Per Goal,32.8
13.3,Disposal Per Scoring Shot,16.4
