,"Melbourne Cricket Ground
Apr 2 2017 (Sun 3:20pm)",
3.2,Q1,2.2
6.4,Q2,4.6
7.5,Q3,7.8
13.8,Q4,9.10
(86),Total,(64)

251,Kicks,223
171,Handballs,135
422,Disposals,358
133,Marks,117
30,Hit Outs,26
62,Tackles,45
25,Frees For,18
18,Frees Against,25

21,Scoring Shots,19
61.9%,Accuracy,47.4%
1,Rushed Behinds,1
32.5,Disposal Per Goal,39.8
20.1,Disposal Per Scoring Shot,18.8
