,"Adelaide Oval
Apr 30 2017 (Sun 4:40pm)",
5.0,Q1,6.3
11.6,Q2,7.3
18.11,Q3,8.3
21.14,Q4,10.4
(140),Total,(64)

250,Kicks,177
211,Handballs,157
461,Disposals,334
125,Marks,58
63,Hit Outs,41
70,Tackles,82
21,Frees For,15
15,Frees Against,21

35,Scoring Shots,14
60.0%,Accuracy,71.4%
4,Rushed Behinds,1
22.0,Disposal Per Goal,33.4
13.2,Disposal Per Scoring Shot,23.9
