,"Etihad Stadium
Apr 16 2017 (Sun 3:20pm)",
2.6,Q1,1.3
3.7,Q2,4.7
5.8,Q3,8.12
7.13,Q4,9.15
(55),Total,(69)

204,Kicks,248
187,Handballs,170
391,Disposals,418
94,Marks,137
39,Hit Outs,27
56,Tackles,87
20,Frees For,17
17,Frees Against,20

20,Scoring Shots,24
35.0%,Accuracy,37.5%
1,Rushed Behinds,2
55.9,Disposal Per Goal,46.4
19.6,Disposal Per Scoring Shot,17.4
