,"Adelaide Oval
Jun 1 2017 (Thu 7:50pm)",
6.5,Q1,0.0
9.8,Q2,0.3
10.15,Q3,3.4
13.20,Q4,7.5
(98),Total,(47)

236,Kicks,203
184,Handballs,142
420,Disposals,345
107,Marks,99
42,Hit Outs,43
68,Tackles,81
20,Frees For,15
15,Frees Against,19

33,Scoring Shots,12
39.4%,Accuracy,58.3%
1,Rushed Behinds,0
32.3,Disposal Per Goal,49.3
12.7,Disposal Per Scoring Shot,28.8
