,"Etihad Stadium
Jul 23 2017 (Sun 3:20pm)",
3.4,Q1,4.2
5.6,Q2,7.3
8.11,Q3,12.5
13.15,Q4,13.7
(93),Total,(85)

206,Kicks,212
170,Handballs,136
376,Disposals,348
78,Marks,117
46,Hit Outs,31
68,Tackles,61
24,Frees For,14
14,Frees Against,24

28,Scoring Shots,20
46.4%,Accuracy,65.0%
3,Rushed Behinds,2
28.9,Disposal Per Goal,26.8
13.4,Disposal Per Scoring Shot,17.4
