,"Melbourne Cricket Ground
Mar 23 2017 (Thu 7:20pm)",
4.3,Q1,7.3
7.4,Q2,13.5
12.4,Q3,15.11
14.5,Q4,20.12
(89),Total,(132)
215.3,Kicks,214.3
151,Handballs,181.3
366.3,Disposals,395.7
86,Marks,89.3
32.3,Hit Outs,43.7
57,Tackles,70.7
23,Frees For,28.7
24.7,Frees Against,21
21,Scoring Shots,20.3
50%,Accuracy,56.1
1,Rushed Behinds,1
31.3,Disposal Per Goal,32.17
17.44,Disposal Per Scoring Shot,19.4
