,"Etihad Stadium
Jul 22 2017 (Sat 1:45pm)",
4.2,Q1,4.4
8.3,Q2,8.5
13.8,Q3,12.7
20.12,Q4,16.9
(132),Total,(105)

191,Kicks,225
183,Handballs,152
374,Disposals,377
65,Marks,125
44,Hit Outs,36
63,Tackles,51
22,Frees For,22
22,Frees Against,22

32,Scoring Shots,25
62.5%,Accuracy,64.0%
1,Rushed Behinds,1
18.7,Disposal Per Goal,23.6
11.7,Disposal Per Scoring Shot,15.1
