,"Domain Stadium
Mar 26 2017 (Sun 7:40pm)",
2.2,Q1,5.1
4.6,Q2,11.3
6.9,Q3,14.5
10.13,Q4,18.7
(73),Total,(115)

206,Kicks,194
176,Handballs,169
382,Disposals,363
88,Marks,83
63,Hit Outs,18
45,Tackles,71
22,Frees For,18
18,Frees Against,22

23,Scoring Shots,25
43.5%,Accuracy,72.0%
2,Rushed Behinds,0
38.2,Disposal Per Goal,20.2
16.6,Disposal Per Scoring Shot,14.5
