,"Melbourne Cricket Ground
Jul 16 2017 (Sun 3:20pm)",
3.2,Q1,2.4
4.4,Q2,7.7
6.6,Q3,10.8
9.8,Q4,12.10
(62),Total,(82)

224,Kicks,213
136,Handballs,215
360,Disposals,428
113,Marks,97
54,Hit Outs,19
58,Tackles,61
21,Frees For,19
19,Frees Against,21

17,Scoring Shots,22
52.9%,Accuracy,54.5%
2,Rushed Behinds,2
40.0,Disposal Per Goal,35.7
21.2,Disposal Per Scoring Shot,19.5
