Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %
669,223,448,149.3,1117,372.3,353,117.7,744,248,75.3,152,50.7,335,111.7,34,11.3,53,17.7,80,26.7,108,36,36,12,72,24,117,39,61,20.3,54,18,144,48,139,46.3,20,6.7,161,53.7,38
659,219.7,476,158.7,1135,378.3,477,159,640,213.3,69.9,175,58.3,245,81.7,29,9.7,31,10.3,118,39.3,133,44.3,44,14.7,89,29.7,127,42.3,71,23.7,59,19.7,184,61.3,164,54.7,9,3,154,51.3,57.1
