,"Etihad Stadium
Aug 27 2017 (Sun 1:10pm)",
4.3,Q1,3.1
8.5,Q2,5.3
14.8,Q3,9.6
16.11,Q4,14.8
(107),Total,(92)

242,Kicks,179
173,Handballs,146
415,Disposals,325
125,Marks,81
40,Hit Outs,40
57,Tackles,64
28,Frees For,15
15,Frees Against,28

27,Scoring Shots,22
59.3%,Accuracy,63.6%
3,Rushed Behinds,4
25.9,Disposal Per Goal,23.2
15.4,Disposal Per Scoring Shot,14.8
