,"Adelaide Oval
Aug 6 2017 (Sun 4:40pm)",
1.9,Q1,1.1
5.15,Q2,1.3
12.18,Q3,4.4
18.22,Q4,7.4
(130),Total,(46)

250,Kicks,164
157,Handballs,143
407,Disposals,307
90,Marks,48
44,Hit Outs,49
83,Tackles,81
27,Frees For,20
20,Frees Against,27

40,Scoring Shots,11
45.0%,Accuracy,63.6%
3,Rushed Behinds,0
22.6,Disposal Per Goal,43.9
10.2,Disposal Per Scoring Shot,27.9
