,"Spotless Stadium
Jul 29 2017 (Sat 2:10pm)",
3.5,Q1,3.3
6.7,Q2,6.6
8.11,Q3,11.8
13.20,Q4,13.8
(98),Total,(86)

215,Kicks,216
152,Handballs,137
367,Disposals,353
95,Marks,126
58,Hit Outs,31
59,Tackles,63
16,Frees For,18
18,Frees Against,16

33,Scoring Shots,21
39.4%,Accuracy,61.9%
4,Rushed Behinds,2
28.2,Disposal Per Goal,27.2
11.1,Disposal Per Scoring Shot,16.8
