Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %
657,219,516,172,1173,391,422,140.7,752,250.7,73.5,161,53.7,310,103.3,40,13.3,39,13,92,30.7,114,38,34,11.3,80,26.7,140,46.7,62,20.7,71,23.7,158,52.7,147,49,13,4.3,139,46.3,53.8
654,218,517,172.3,1171,390.3,387,129,805,268.3,75.2,176,58.7,323,107.7,25,8.3,34,11.3,66,22,86,28.7,33,11,53,17.7,123,41,54,18,69,23,174,58,150,50,35,11.7,154,51.3,43.1
