,"Etihad Stadium
Jun 24 2017 (Sat 7:25pm)",
6.4,Q1,3.4
10.8,Q2,7.5
13.14,Q3,12.7
15.17,Q4,16.10
(107),Total,(106)

219,Kicks,166
162,Handballs,145
381,Disposals,311
87,Marks,68
49,Hit Outs,36
83,Tackles,79
26,Frees For,14
14,Frees Against,26

32,Scoring Shots,26
46.9%,Accuracy,61.5%
3,Rushed Behinds,1
25.4,Disposal Per Goal,19.4
11.9,Disposal Per Scoring Shot,12.0
