,"Domain Stadium
Apr 8 2017 (Sat 7:40pm)",
4.4,Q1,1.3
6.7,Q2,5.6
8.10,Q3,10.12
13.11,Q4,10.13
(89),Total,(73)

212,Kicks,209
194,Handballs,213
406,Disposals,422
100,Marks,89
43,Hit Outs,24
54,Tackles,63
14,Frees For,14
14,Frees Against,14

24,Scoring Shots,23
54.2%,Accuracy,43.5%
3,Rushed Behinds,1
31.2,Disposal Per Goal,42.2
16.9,Disposal Per Scoring Shot,18.3
