,"Etihad Stadium
Jun 11 2017 (Sun 3:20pm)",
4.1,Q1,2.6
7.4,Q2,5.8
8.7,Q3,7.9
10.11,Q4,9.16
(71),Total,(70)

214,Kicks,196
145,Handballs,192
359,Disposals,388
107,Marks,95
39,Hit Outs,30
55,Tackles,69
22,Frees For,17
17,Frees Against,22

21,Scoring Shots,25
47.6%,Accuracy,36.0%
3,Rushed Behinds,2
35.9,Disposal Per Goal,43.1
17.1,Disposal Per Scoring Shot,15.5
