,"Melbourne Cricket Ground
Aug 6 2017 (Sun 3:20pm)",
5.4,Q1,1.3
6.8,Q2,2.5
9.10,Q3,4.8
13.15,Q4,9.10
(93),Total,(64)

213,Kicks,187
190,Handballs,183
403,Disposals,370
91,Marks,94
42,Hit Outs,36
58,Tackles,69
16,Frees For,18
18,Frees Against,16

28,Scoring Shots,19
46.4%,Accuracy,47.4%
4,Rushed Behinds,2
31.0,Disposal Per Goal,41.1
14.4,Disposal Per Scoring Shot,19.5
