,"Etihad Stadium
Aug 6 2017 (Sun 1:10pm)",
3.2,Q1,3.5
7.5,Q2,7.8
10.7,Q3,10.10
15.13,Q4,14.11
(103),Total,(95)

236,Kicks,188
191,Handballs,152
427,Disposals,340
107,Marks,84
53,Hit Outs,23
83,Tackles,51
21,Frees For,12
12,Frees Against,21

28,Scoring Shots,25
53.6%,Accuracy,56.0%
3,Rushed Behinds,1
28.5,Disposal Per Goal,24.3
15.3,Disposal Per Scoring Shot,13.6
