Kicks,,Handballs,,Disposals,,Cont Poss,,Uncont Poss,,Disp eff %,Clangers,,Marks,,Cont marks,,Marks50,,HitOuts,,Clearances,,Centre clr,,Stoppages,,Rebound50,,Frees For,,Frees Agst,,Tackles,,One %s,,Bounces,,Inside50,,Goal acc %
683,227.7,496,165.3,1179,393,434,144.7,738,246,74.2,192,64,306,102,30,10,43,14.3,91,30.3,125,41.7,49,16.3,76,25.3,118,39.3,53,17.7,77,25.7,201,67,147,49,24,8,174,58,51.6
671,223.7,473,157.7,1144,381.3,437,145.7,712,237.3,74.1,170,56.7,305,101.7,29,9.7,31,10.3,137,45.7,104,34.7,38,12.7,66,22,110,36.7,61,20.3,67,22.3,162,54,136,45.3,18,6,164,54.7,46.9
