,"Domain Stadium
May 28 2017 (Sun 4:40pm)",
5.0,Q1,2.4
6.2,Q2,4.7
9.3,Q3,8.12
14.6,Q4,14.14
(90),Total,(98)

215,Kicks,219
214,Handballs,181
429,Disposals,400
85,Marks,90
42,Hit Outs,52
60,Tackles,59
16,Frees For,8
8,Frees Against,16

20,Scoring Shots,28
70.0%,Accuracy,50.0%
1,Rushed Behinds,5
30.6,Disposal Per Goal,28.6
21.5,Disposal Per Scoring Shot,14.3
