,"Melbourne Cricket Ground
Jul 23 2017 (Sun 1:10pm)",
0.2,Q1,3.4
4.6,Q2,3.5
8.8,Q3,4.5
9.10,Q4,6.9
(64),Total,(45)

219,Kicks,242
105,Handballs,147
324,Disposals,389
71,Marks,92
31,Hit Outs,44
65,Tackles,57
25,Frees For,33
33,Frees Against,25

19,Scoring Shots,15
47.4%,Accuracy,40.0%
3,Rushed Behinds,2
36.0,Disposal Per Goal,64.8
17.1,Disposal Per Scoring Shot,25.9
