,"Domain Stadium
Jul 2 2017 (Sun 4:40pm)",
4.3,Q1,1.5
7.5,Q2,6.8
10.7,Q3,8.14
12.8,Q4,12.17
(80),Total,(89)

224,Kicks,197
195,Handballs,190
419,Disposals,387
117,Marks,84
35,Hit Outs,51
76,Tackles,74
17,Frees For,18
18,Frees Against,17

20,Scoring Shots,29
60.0%,Accuracy,41.4%
0,Rushed Behinds,3
34.9,Disposal Per Goal,32.3
21.0,Disposal Per Scoring Shot,13.3
