,"Metricon Stadium
Jul 15 2017 (Sat 4:35pm)",
2.1,Q1,5.4
7.5,Q2,7.5
10.8,Q3,10.9
13.10,Q4,15.13
(88),Total,(103)

196,Kicks,216
136,Handballs,192
332,Disposals,408
78,Marks,77
43,Hit Outs,47
74,Tackles,75
20,Frees For,23
23,Frees Against,20

23,Scoring Shots,28
56.5%,Accuracy,53.6%
1,Rushed Behinds,2
25.5,Disposal Per Goal,27.2
14.4,Disposal Per Scoring Shot,14.6
