,"Melbourne Cricket Ground
Apr 8 2017 (Sat 2:10pm)",
2.2,Q1,2.6
5.6,Q2,5.13
9.8,Q3,7.14
11.10,Q4,8.17
(76),Total,(65)

236,Kicks,208
163,Handballs,162
399,Disposals,370
69,Marks,86
27,Hit Outs,52
76,Tackles,67
21,Frees For,27
26,Frees Against,21

21,Scoring Shots,25
52.4%,Accuracy,32.0%
1,Rushed Behinds,6
36.3,Disposal Per Goal,46.3
19.0,Disposal Per Scoring Shot,14.8
