,"Etihad Stadium
Apr 22 2017 (Sat 1:45pm)",
3.7,Q1,5.0
5.13,Q2,12.3
9.18,Q3,12.5
17.20,Q4,14.6
(122),Total,(90)

223,Kicks,210
196,Handballs,150
419,Disposals,360
100,Marks,94
39,Hit Outs,50
69,Tackles,81
20,Frees For,14
14,Frees Against,20

37,Scoring Shots,20
45.9%,Accuracy,70.0%
2,Rushed Behinds,1
24.6,Disposal Per Goal,25.7
11.3,Disposal Per Scoring Shot,18.0
