,"Melbourne Cricket Ground
Jul 2 2017 (Sun 3:20pm)",
6.2,Q1,3.2
9.3,Q2,8.3
12.6,Q3,12.8
18.10,Q4,14.10
(118),Total,(94)

242,Kicks,220
211,Handballs,185
453,Disposals,405
131,Marks,115
35,Hit Outs,38
71,Tackles,72
11,Frees For,6
6,Frees Against,11

28,Scoring Shots,24
64.3%,Accuracy,58.3%
1,Rushed Behinds,2
25.2,Disposal Per Goal,28.9
16.2,Disposal Per Scoring Shot,16.9
