,"Etihad Stadium
Aug 19 2017 (Sat 7:25pm)",
4.4,Q1,1.1
6.4,Q2,5.7
10.4,Q3,8.8
12.5,Q4,10.10
(77),Total,(70)

238,Kicks,206
157,Handballs,184
395,Disposals,390
114,Marks,95
38,Hit Outs,38
65,Tackles,71
25,Frees For,22
21,Frees Against,25

17,Scoring Shots,20
70.6%,Accuracy,50.0%
0,Rushed Behinds,5
32.9,Disposal Per Goal,39.0
23.2,Disposal Per Scoring Shot,19.5
