,"Melbourne Cricket Ground
Aug 13 2017 (Sun 1:10pm)",
6.3,Q1,1.1
9.6,Q2,4.4
10.9,Q3,8.11
14.12,Q4,10.12
(96),Total,(72)

212,Kicks,203
211,Handballs,190
423,Disposals,393
100,Marks,85
23,Hit Outs,34
58,Tackles,70
20,Frees For,20
20,Frees Against,20

26,Scoring Shots,22
53.8%,Accuracy,45.5%
4,Rushed Behinds,2
30.2,Disposal Per Goal,39.3
16.3,Disposal Per Scoring Shot,17.9
